created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-06-15T09:19:16+00:00,1,3.71954,2.57338,2.84664,51204.02734,13766.22559,0.95978,0.10619,0.89381,,,,
2025-06-15T09:20:06+00:00,2,3.88536,2.27139,2.57338,53486.79297,13766.22559,0.93037,0.13296,0.86704,,,,
2025-06-15T09:20:55+00:00,3,3.82282,2.37936,2.27139,52625.86328,13766.22559,0.94125,0.04538,0.95462,,,,
2025-06-15T09:21:45+00:00,4,3.94459,2.17514,2.37936,54302.09766,13766.22559,0.92029,0.09389,0.90611,,,,
2025-06-15T09:22:34+00:00,5,4.02232,2.05700,2.17514,55372.10938,13766.22559,0.90740,0.05744,0.94256,,,,
2025-06-15T09:23:24+00:00,6,4.07956,1.97546,2.05700,56160.16406,13766.22559,0.89813,0.04127,0.95873,,,,
2025-06-15T09:24:13+00:00,7,4.17938,1.84341,1.97546,57534.25000,13766.22559,0.88242,0.07163,0.92837,,,,
2025-06-15T09:25:03+00:00,8,4.25326,1.75324,1.84342,58551.34375,13766.22559,0.87114,0.05143,0.94857,,,,
2025-06-15T09:25:52+00:00,9,4.31540,1.68196,1.75324,59406.73828,13766.22559,0.86187,0.04238,0.95762,,,,
2025-06-15T09:26:42+00:00,10,4.36774,1.62491,1.68196,60127.35547,13766.22559,0.85421,0.03511,0.96489,,,,
2025-06-15T09:27:32+00:00,11,4.39567,1.59553,1.62491,60511.85156,13766.22559,0.85018,0.01841,0.98159,,,,
2025-06-15T09:28:21+00:00,12,4.45234,1.53810,1.59553,61291.87109,13766.22559,0.84212,0.03734,0.96266,,,,
2025-06-15T09:29:11+00:00,13,4.48108,1.51004,1.53810,61687.50000,13766.22559,0.83810,0.01859,0.98141,,,,
2025-06-15T09:30:41+00:00,14,3.63305,2.75262,2.82044,63849.53125,17574.62109,0.81674,0.02464,0.97536,,,,
2025-06-15T09:31:31+00:00,15,3.64978,2.71666,2.75262,64143.56250,17574.62109,0.81392,0.01324,0.98676,,,,
2025-06-15T09:32:20+00:00,16,3.69090,2.63094,2.71666,64866.20313,17574.62109,0.80707,0.03258,0.96742,,,,
2025-06-15T09:34:00+00:00,17,3.59924,2.82729,2.83268,65601.21094,18226.42969,0.80022,0.00190,0.99810,,,,
2025-06-15T09:34:50+00:00,18,3.65246,2.71097,2.82729,66571.29687,18226.42969,0.79136,0.04291,0.95709,,,,
2025-06-15T09:35:40+00:00,19,3.74725,2.51928,2.71097,68299.06250,18226.42969,0.77604,0.07609,0.92391,,,,
2025-06-15T09:36:29+00:00,20,3.67952,2.65430,2.51929,67064.52344,18226.42969,0.78692,0.05087,0.94913,,,,
2025-06-15T09:37:35+00:00,21,3.65563,2.70424,3.02921,68345.45312,18695.92188,0.77564,0.12017,0.87983,,,,
2025-06-15T09:38:24+00:00,22,3.62113,2.77864,2.70424,67700.35937,18695.92188,0.78128,0.02678,0.97322,,,,
2025-06-15T09:39:14+00:00,23,3.65563,2.70424,2.77864,68345.45312,18695.92188,0.77564,0.02751,0.97249,,,,
2025-06-15T09:40:37+00:00,24,3.63654,2.74508,2.78839,69425.86719,19091.19531,0.76637,0.01578,0.98422,,,,
2025-06-15T09:41:44+00:00,25,3.59969,2.82627,2.78257,68438.37500,19012.29688,0.77484,0.01546,0.98454,,,,
2025-06-15T09:42:34+00:00,26,3.59236,2.84280,2.82627,68299.06250,19012.29688,0.77604,0.00581,0.99419,,,,
2025-06-15T09:43:23+00:00,27,3.57778,2.87610,2.84280,68021.72656,19012.29688,0.77846,0.01158,0.98842,,,,
2025-06-15T09:44:12+00:00,28,3.60459,2.81529,2.87610,68531.50000,19012.29688,0.77403,0.02160,0.97840,,,,
2025-06-15T09:45:02+00:00,29,3.64165,2.73407,2.81529,69236.10156,19012.29688,0.76799,0.02971,0.97029,,,,
2025-06-15T09:45:51+00:00,30,3.59480,2.83728,2.73407,68345.45312,19012.29688,0.77564,0.03638,0.96362,,,,
2025-06-15T09:46:41+00:00,31,3.62181,2.77715,2.83728,68858.92969,19012.29688,0.77121,0.02165,0.97835,,,,
