date,entry_id,Temperature,Humidity,PM2.5,PM10,CO,CO2
2025-06-17T07:08:50+00:00,464,25.9,71.3,26.4,35.1,1.32246,402.82861
2025-06-17T07:09:40+00:00,465,25.9,70.1,26.2,33.3,1.28997,402.73026
2025-06-17T07:10:36+00:00,466,25.9,69.7,24.5,32.5,1.31978,402.81689
2025-06-17T07:11:26+00:00,467,25.9,69.3,24.1,31.9,1.32873,402.75455
2025-06-17T07:12:15+00:00,468,25.8,69.1,25.1,32.0,1.30203,402.64542
2025-06-17T07:13:05+00:00,469,25.8,68.8,24.7,32.8,1.2991,402.4985
2025-06-17T07:13:54+00:00,470,25.8,68.5,24.5,31.4,1.36808,402.36978
2025-06-17T07:14:44+00:00,471,25.9,71.3,23.8,30.9,1.28448,402.1171
2025-06-17T07:15:34+00:00,472,26.0,73.8,24.9,31.6,1.30793,402.22324
2025-06-17T07:16:23+00:00,473,26.2,74.4,24.5,32.3,1.21897,402.02173
2025-06-17T07:17:12+00:00,474,26.1,67.4,24.2,29.9,1.32276,402.11063
2025-06-17T07:18:02+00:00,475,26.0,67.2,102.0,114.1,1.31384,402.00931
2025-06-17T07:18:51+00:00,476,25.9,69.5,103.2,114.2,1.29031,401.96335
2025-06-17T07:19:41+00:00,477,26.0,71.2,25.9,34.9,1.14027,401.76373
2025-06-17T07:20:30+00:00,478,26.0,66.8,25.0,32.5,1.12975,401.48962
2025-06-17T07:21:19+00:00,479,26.0,66.4,24.6,33.2,1.17773,401.56985
2025-06-17T07:22:09+00:00,480,26.0,66.0,25.6,34.6,1.14027,401.40396
2025-06-17T07:23:02+00:00,481,26.0,65.8,25.8,31.9,1.14556,401.44507
2025-06-17T07:23:52+00:00,482,26.0,65.6,24.6,33.8,1.135,401.48251
2025-06-17T07:24:41+00:00,483,25.9,65.5,24.9,32.3,1.135,401.41754
2025-06-17T07:25:31+00:00,484,25.9,65.7,24.6,31.2,1.14291,401.39722
2025-06-17T07:26:20+00:00,485,25.9,65.4,23.3,30.8,1.15087,401.35291
2025-06-17T07:27:10+00:00,486,25.9,65.2,23.4,32.1,1.17232,401.29086
2025-06-17T07:28:03+00:00,487,25.8,65.1,23.5,30.5,1.04098,401.16837
